year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power
2020,13.07107218827772,9.472781556562168,Petrol,Individual,Manual,First Owner,21.63,998,67.04
2016,13.567050480716235,11.002116507732017,Diesel,Individual,Manual,First Owner,24.3,1248,88.5
2017,13.296318365198623,10.596659732783579,Petrol,Individual,Manual,First Owner,20.85,1197,83.14
2017,12.994532278619134,10.463131911491967,Petrol,Individual,Manual,First Owner,20.51,998,67.04
2014,12.899222326086994,11.156264806643742,Diesel,Individual,Manual,Third Owner,20.45,1461,83.8
2017,13.652992804936396,11.240329029936488,Diesel,Individual,Manual,First Owner,23.0,1498,98.96
2012,12.821260987319457,12.07254696717504,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9
2018,12.765691290604371,10.12667110305036,Petrol,Individual,Manual,First Owner,23.01,999,67.0
2015,12.793862088206213,10.596659732783579,Petrol,Individual,Manual,Second Owner,23.1,998,67.04
2008,11.561725152903833,11.082157933374816,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3
2013,13.345508528717259,11.407576060361786,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76
2009,11.813037464800539,11.289794413577894,Petrol,Individual,Manual,Second Owner,17.92,1086,62.1
2015,13.45883704259595,11.608244735642321,Diesel,Individual,Manual,Second Owner,20.77,1248,88.76
2019,13.444448325847754,7.1731917424865985,Petrol,Dealer,Manual,First Owner,17.8,1198,86.7
2017,13.586098651497313,10.62135173563291,Petrol,Dealer,Automatic,First Owner,18.0,1497,117.6
2015,13.190023895035274,10.596659732783579,Diesel,Dealer,Manual,First Owner,26.21,1248,88.5
2018,13.606024566142413,9.305741456739435,Petrol,Dealer,Manual,First Owner,17.0,1198,108.5
2011,12.834683971615659,10.799595985047786,Petrol,Individual,Manual,First Owner,15.04,1598,103.6
2016,13.377007146164305,9.305741456739435,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5
2014,13.303018546545275,10.738589920723442,Petrol,Dealer,Manual,First Owner,16.02,1373,93.7
2017,13.681980308196241,9.798182590890704,Petrol,Dealer,Automatic,First Owner,15.6,1497,116.3
2019,13.704578997256993,9.175231194862615,Petrol,Dealer,Automatic,First Owner,19.56,1197,81.8
2011,12.07254696717504,9.305741456739435,Petrol,Dealer,Manual,First Owner,23.95,998,67.05
2012,12.73670383776449,10.098272780745283,Petrol,Dealer,Manual,First Owner,21.21,1197,81.8
2018,13.840204146163925,8.987321812850125,Diesel,Dealer,Automatic,First Owner,21.5,1497,108.5
2016,13.652992804936396,9.90353755128617,Petrol,Individual,Manual,First Owner,17.5,1373,91.1
2011,12.611541086966115,11.51293546492023,Diesel,Individual,Manual,Second Owner,20.54,1598,103.6
2018,13.26212705890841,9.15915233520675,Petrol,Individual,Manual,First Owner,18.16,1196,86.8
2011,11.982935344196433,11.695255355062795,Diesel,Individual,Manual,First Owner,20.0,1399,68.0
2015,13.151924121391561,10.50783084142058,Petrol,Individual,Manual,First Owner,20.4,1197,81.8
2015,12.873904582205107,10.819798284210286,Petrol,Individual,Automatic,Second Owner,20.51,998,67.0
2016,13.217675375388819,9.546884034617925,Petrol,Individual,Manual,Second Owner,18.6,1197,81.83
1999,10.596659732783579,10.596659732783579,Petrol,Individual,Manual,Second Owner,16.1,796,37.0
2010,12.301387370778713,11.695255355062795,Diesel,Individual,Manual,First Owner,21.1,1248,73.9
2015,12.959846800844963,11.156264806643742,Petrol,Individual,Manual,First Owner,18.9,1197,82.0
2019,13.081543466215237,9.472781556562168,Petrol,Individual,Manual,First Owner,19.44,999,75.0
2014,12.899222326086994,11.002116507732017,Petrol,Individual,Manual,Second Owner,18.9,1197,82.0
2014,13.096021455450709,10.463131911491967,Petrol,Individual,Manual,First Owner,19.1,1197,85.8
2016,12.863595239117187,10.691967639914864,Petrol,Individual,Manual,Second Owner,19.1,1197,82.0
2005,11.51293546492023,11.695255355062795,Petrol,Individual,Manual,Second Owner,13.0,1493,100.0
2010,12.611541086966115,11.002116507732017,Diesel,Individual,Manual,First Owner,21.43,1364,87.2
2000,11.51293546492023,11.002116507732017,Petrol,Individual,Manual,First Owner,18.5,796,53.0
2016,13.017005083966255,9.61587214452889,Petrol,Individual,Manual,Second Owner,18.15,1198,82.0
2017,13.102162710901053,11.407576060361786,Diesel,Individual,Manual,First Owner,22.95,1248,74.0
2009,12.75130259456002,10.757924157061597,Petrol,Individual,Manual,Second Owner,17.0,1497,118.0
2005,11.350418300109132,11.407576060361786,Petrol,Individual,Manual,First Owner,17.3,993,60.0
2010,12.278397958261774,11.700242855114809,Petrol,Individual,Manual,Second Owner,18.9,998,67.1
2010,12.676079399771027,11.51293546492023,Petrol,Individual,Manual,Third Owner,16.2,1599,103.2
2016,13.038981768465277,11.002116507732017,Petrol,Individual,Manual,Second Owner,20.85,1197,83.14
2005,11.082157933374816,11.362114203075018,Petrol,Individual,Manual,First Owner,15.3,1341,83.0
2020,13.487007879880162,8.517393171418904,Petrol,Individual,Manual,First Owner,18.6,1197,81.86
2017,13.592368256649284,10.518700218288165,Diesel,Individual,Manual,First Owner,28.09,1248,88.5
2019,13.161586013632684,9.546884034617925,Petrol,Individual,Manual,First Owner,20.3,1199,84.0
2015,13.270785106659046,11.156264806643742,Diesel,Individual,Manual,First Owner,20.77,1248,88.76
2015,13.304686600863562,10.819798284210286,Petrol,Individual,Manual,First Owner,17.4,1497,117.3
2014,12.577639650232573,11.002116507732017,Petrol,Individual,Manual,Second Owner,19.4,1198,86.8
2016,12.793862088206213,10.819798284210286,CNG,Individual,Manual,First Owner,26.6,998,58.16
2017,13.217675375388819,10.819798284210286,Petrol,Individual,Manual,First Owner,20.85,1197,83.14
2013,12.834683971615659,11.156264806643742,Petrol,Individual,Manual,First Owner,18.5,1197,82.85
2018,12.948012371209098,10.463131911491967,Petrol,Individual,Automatic,First Owner,20.51,998,67.0
2017,13.217675375388819,9.90353755128617,Petrol,Individual,Manual,First Owner,21.21,1197,81.8
2018,12.506180941677357,9.90353755128617,Petrol,Individual,Manual,First Owner,24.7,796,47.3
2018,13.45883704259595,8.962007209588313,Petrol,Individual,Automatic,First Owner,22.0,1197,81.8
2017,13.122365377402328,9.90353755128617,Petrol,Individual,Manual,First Owner,20.4,1197,81.8
2013,12.676079399771027,10.3538622893929,Petrol,Individual,Manual,Second Owner,18.5,1197,82.85
2018,13.45883704259595,10.819798284210286,Diesel,Individual,Manual,First Owner,28.4,1248,74.02
2015,12.577639650232573,11.002116507732017,Petrol,Individual,Manual,First Owner,20.51,998,67.04
2012,12.487488878546145,11.002116507732017,Petrol,Individual,Manual,First Owner,19.4,1198,86.8
2018,13.629182184591333,8.517393171418904,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1
2011,11.982935344196433,10.12667110305036,Petrol,Individual,Manual,Second Owner,19.7,796,46.3
2018,12.721888795877375,10.308985993422082,Petrol,Individual,Manual,First Owner,25.17,799,53.3
2017,12.703816069256568,11.289794413577894,Petrol,Individual,Manual,Second Owner,20.63,1198,67.0
2017,13.560619598657233,11.225256725762893,Diesel,Individual,Manual,First Owner,24.3,1248,88.5
2020,13.169248871698304,10.373522431293592,Petrol,Individual,Manual,First Owner,20.14,1197,81.86
2015,12.409017571151187,10.596659732783579,Petrol,Individual,Manual,First Owner,22.74,796,47.3
2012,12.524530013005734,11.440365524765756,Petrol,Individual,Manual,Second Owner,17.0,1197,80.0
2018,13.161586013632684,11.002116507732017,Petrol,Individual,Manual,First Owner,17.57,1193,88.7
2014,13.217675375388819,10.518700218288165,Petrol,Individual,Manual,First Owner,16.95,1498,97.7
2015,12.611541086966115,11.289794413577894,Petrol,Individual,Manual,First Owner,19.49,1198,67.04
2016,12.765691290604371,11.849404844423074,Petrol,Individual,Manual,First Owner,20.51,998,67.04
2013,12.611541086966115,11.695255355062795,Diesel,Individual,Manual,Second Owner,17.21,1493,100.0
2010,12.429220196836383,11.608244735642321,Diesel,Individual,Manual,Second Owner,21.1,1248,73.9
2016,12.506180941677357,10.691967639914864,Petrol,Individual,Manual,First Owner,25.17,799,53.3
2015,13.369225017834633,11.289794413577894,Diesel,Individual,Manual,First Owner,20.77,1248,88.76
2017,12.92391243868049,9.510519035757246,Petrol,Individual,Manual,First Owner,15.37,1196,73.0
2011,12.013706813470414,11.225256725762893,Petrol,Individual,Manual,First Owner,17.92,1086,62.1
2007,11.289794413577894,11.695255355062795,Petrol,Individual,Manual,Second Owner,13.2,1495,94.0
2013,13.217675375388819,11.156264806643742,Diesel,Individual,Manual,First Owner,23.4,1248,74.0
2019,13.429849547739444,9.61587214452889,Petrol,Individual,Automatic,First Owner,19.0,1199,88.76
2009,12.206077645517674,10.87806606028079,Petrol,Individual,Manual,Second Owner,20.36,1197,78.9
2014,13.122365377402328,11.695255355062795,Diesel,Individual,Manual,Second Owner,23.4,1248,74.0
2016,13.815511557963774,11.156264806643742,Diesel,Individual,Manual,First Owner,24.52,1248,88.5
2008,11.608244735642321,11.695255355062795,Petrol,Individual,Manual,Second Owner,14.2,1341,82.9
2012,12.676079399771027,11.51293546492023,Petrol,Individual,Manual,Second Owner,18.5,1197,80.0
2015,12.765691290604371,11.51293546492023,Petrol,Individual,Manual,First Owner,20.4,1197,83.11
2013,12.04355959836804,11.998439434579149,Diesel,Individual,Manual,First Owner,19.4,1405,70.0
2017,13.592368256649284,10.571342565808699,Diesel,Individual,Manual,First Owner,22.54,1396,88.73
2017,13.122365377402328,11.225256725762893,Diesel,Individual,Manual,First Owner,26.8,1248,74.0
2019,14.077875591662238,10.596659732783579,Diesel,Individual,Manual,First Owner,17.3,1497,121.0
2012,12.793862088206213,11.970356641102999,Diesel,Individual,Manual,First Owner,23.4,1248,74.0
2012,12.644330802262578,11.695255355062795,Diesel,Individual,Manual,First Owner,19.3,1248,73.9
2015,13.493928313146206,10.819798284210286,Diesel,Individual,Manual,Second Owner,26.0,1498,98.6
2012,12.73670383776449,11.608244735642321,Diesel,Individual,Manual,First Owner,19.3,1248,73.9
2017,13.217675375388819,7.601402334583733,Diesel,Individual,Manual,Second Owner,25.4,1186,73.97
2016,12.847929163278053,11.156264806643742,Diesel,Individual,Manual,First Owner,27.28,1047,69.0
2013,12.765691290604371,11.407576060361786,Petrol,Individual,Automatic,Second Owner,17.97,1498,99.6
2019,13.321215875492413,7.601402334583733,Petrol,Individual,Manual,First Owner,18.6,1197,81.86
2015,13.171155446333852,9.90353755128617,Petrol,Individual,Manual,First Owner,20.85,1197,83.14
2012,12.676079399771027,12.170450649220749,Diesel,Individual,Manual,First Owner,19.3,1248,73.9
2014,12.834683971615659,11.289794413577894,Petrol,Individual,Manual,First Owner,20.4,1197,81.8
2019,12.611541086966115,10.596659732783579,Petrol,Individual,Manual,First Owner,19.02,1198,67.05
2015,13.122365377402328,11.156264806643742,Diesel,Individual,Manual,Fourth & Above Owner,22.54,1396,88.73
2017,12.765691290604371,11.695255355062795,Diesel,Individual,Manual,First Owner,27.28,1047,69.0
2015,12.847929163278053,10.596659732783579,Petrol,Individual,Manual,First Owner,17.57,1193,88.7
2008,11.652687407345388,11.46374572492597,Petrol,Individual,Manual,Third Owner,13.2,1495,94.0
2014,12.721888795877375,10.405292613081036,Petrol,Dealer,Manual,First Owner,19.4,1198,86.8
2015,13.049794835104816,11.051905362739744,Petrol,Dealer,Automatic,First Owner,18.9,1197,82.0
2012,12.577639650232573,11.002116507732017,Diesel,Individual,Manual,First Owner,21.02,1248,88.76
2005,11.608244735642321,10.714439990727769,Petrol,Individual,Manual,Second Owner,19.7,796,46.3
2017,13.017005083966255,10.463131911491967,Petrol,Individual,Manual,First Owner,18.9,1197,82.0
2017,13.017005083966255,10.463131911491967,Petrol,Individual,Manual,First Owner,18.9,1197,82.0
2013,12.577639650232573,10.819798284210286,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9
2016,13.161586013632684,9.90353755128617,Petrol,Individual,Manual,First Owner,20.4,1197,81.8
2011,12.487488878546145,9.90353755128617,Petrol,Individual,Automatic,First Owner,16.95,1197,78.9
2012,12.706850963741102,10.819798284210286,Petrol,Individual,Manual,Second Owner,18.6,1197,85.8
2012,12.706850963741102,10.819798284210286,Petrol,Individual,Manual,Second Owner,18.6,1197,85.8
2015,13.171155446333852,10.819798284210286,Petrol,Individual,Manual,First Owner,17.19,1197,81.86
2019,13.42246945133505,9.711176264112805,Petrol,Individual,Manual,First Owner,21.01,1197,81.8
2010,12.611541086966115,11.156264806643742,Petrol,Individual,Manual,First Owner,17.0,1197,80.0
2005,11.407576060361786,11.5065250257892,Petrol,Individual,Manual,Second Owner,19.7,796,46.3
2017,13.384729180332174,10.12667110305036,Diesel,Individual,Manual,First Owner,26.59,1248,74.0
2014,12.921472880009725,11.156264806643742,Petrol,Individual,Manual,Second Owner,19.1,1197,85.8
2015,12.886643575525625,11.289794413577894,Diesel,Individual,Manual,Second Owner,24.0,1120,70.0
2014,12.899222326086994,11.156264806643742,Petrol,Individual,Manual,Second Owner,19.1,1197,85.8
2012,11.695255355062795,11.002116507732017,Petrol,Individual,Manual,Third Owner,18.6,1199,79.4
2018,13.377007146164305,9.210440366976517,Petrol,Individual,Automatic,First Owner,20.3,1199,84.0
2006,11.302216779257382,11.289794413577894,Petrol,Individual,Manual,First Owner,16.1,796,37.0
2017,14.077875591662238,10.308985993422082,Diesel,Individual,Manual,First Owner,25.6,1498,97.9
2017,14.038654909278163,10.404293143019792,Diesel,Individual,Manual,First Owner,25.6,1498,97.9
2013,13.190023895035274,11.407576060361786,Petrol,Individual,Manual,Third Owner,16.02,1373,93.7
2014,13.22672519452875,11.291043617373028,Diesel,Individual,Manual,Second Owner,19.01,1461,108.5
2014,13.493928313146206,11.695255355062795,Petrol,Individual,Manual,First Owner,17.4,1497,117.3
2016,12.345834587905333,10.596659732783579,Petrol,Individual,Manual,First Owner,25.17,799,53.3
2017,12.92391243868049,10.757924157061597,Petrol,Individual,Manual,First Owner,20.51,998,67.04
2018,14.006131744018864,10.12667110305036,Diesel,Individual,Manual,First Owner,21.38,1396,88.7
2017,12.899222326086994,10.165890277802454,Petrol,Individual,Manual,First Owner,23.84,1199,84.0
2018,13.161586013632684,10.275085591132715,Diesel,Individual,Manual,First Owner,24.0,1186,73.97
2016,13.384729180332174,10.819798284210286,Petrol,Individual,Automatic,First Owner,21.4,1197,83.1
2011,12.691583538230217,10.968215530759236,Petrol,Individual,Manual,Third Owner,16.1,1298,88.2
2012,12.948012371209098,11.695255355062795,Petrol,Individual,Automatic,First Owner,17.4,1197,85.8
2014,12.899222326086994,10.819798284210286,Petrol,Individual,Manual,First Owner,20.4,1197,81.8
2010,12.449018824140563,11.289794413577894,Petrol,Individual,Manual,Fourth & Above Owner,17.0,1197,80.0
2003,11.082157933374816,11.002116507732017,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60.0
2017,12.768544351446794,10.491301994830229,Petrol,Individual,Manual,First Owner,23.1,998,67.04
2011,12.128116509451258,12.128116509451258,Diesel,Individual,Manual,Third Owner,21.1,1248,73.9
2011,12.429220196836383,10.819798284210286,Diesel,Individual,Manual,First Owner,23.08,1461,63.1
2002,11.002116507732017,11.51293546492023,Petrol,Individual,Manual,Fourth & Above Owner,17.3,993,60.0
2007,11.350418300109132,11.289794413577894,Petrol,Individual,Manual,Second Owner,18.2,998,67.1
2005,11.350418300109132,11.289794413577894,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796,46.3
2011,12.487488878546145,11.407576060361786,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248,73.9
2010,11.775297421715827,11.995357787034976,Petrol,Individual,Manual,Second Owner,19.0,998,66.1
2013,13.081543466215237,11.608244735642321,Diesel,Individual,Manual,Third Owner,20.77,1248,88.76
2008,12.04355959836804,11.695255355062795,Diesel,Individual,Manual,Third Owner,17.8,1248,75.0
2011,12.524530013005734,10.714439990727769,Diesel,Individual,Manual,First Owner,23.08,1461,63.1
2005,11.39640288460621,11.407576060361786,Petrol,Individual,Manual,Second Owner,18.9,998,67.1
2010,12.04355959836804,11.407576060361786,Diesel,Individual,Manual,Second Owner,20.0,1399,68.0
2019,13.901689171636098,9.711176264112805,Petrol,Dealer,Manual,First Owner,17.0,1197,110.0
2018,13.321215875492413,10.859018228147887,Petrol,Dealer,Manual,First Owner,22.0,1197,81.8
2016,12.721888795877375,10.596659732783579,Petrol,Dealer,Manual,First Owner,20.63,1198,67.0
2015,12.983101310070822,10.596659732783579,Petrol,Dealer,Manual,First Owner,18.9,1197,82.0
2018,12.873904582205107,9.472781556562168,Petrol,Dealer,Manual,First Owner,20.71,799,53.26
2012,12.691583538230217,10.596659732783579,Petrol,Dealer,Manual,First Owner,18.5,1198,86.8
2019,13.369225017834633,9.210440366976517,Petrol,Dealer,Manual,First Owner,17.0,1198,73.75
2012,13.017005083966255,9.105090961257085,Petrol,Dealer,Manual,First Owner,16.95,1498,97.7
2013,12.899222326086994,11.156264806643742,Diesel,Dealer,Manual,Second Owner,23.59,1364,67.06
2009,12.278397958261774,11.002116507732017,Petrol,Dealer,Manual,First Owner,20.36,1197,78.9
2014,13.25339339419516,10.596659732783579,Diesel,Dealer,Manual,First Owner,20.45,1461,83.8
2011,11.918397239722838,10.819798284210286,Petrol,Individual,Manual,Second Owner,15.64,1193,64.08
2013,12.429220196836383,11.695255355062795,Diesel,Individual,Manual,First Owner,23.08,1461,63.1
2005,11.082157933374816,10.463131911491967,Petrol,Individual,Manual,First Owner,18.9,998,67.1
2016,13.217675375388819,11.002116507732017,Diesel,Individual,Manual,Second Owner,26.59,1248,74.0
2010,11.849404844423074,11.156264806643742,Petrol,Individual,Manual,Fourth & Above Owner,20.36,1197,78.9
2016,12.611541086966115,10.308985993422082,Petrol,Individual,Manual,First Owner,25.17,799,53.3
2013,12.323860125621126,10.97411180466407,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998,67.05
2018,13.51440681653079,10.566639335560673,Diesel,Dealer,Manual,First Owner,27.39,1248,74.0
2016,13.217675375388819,10.941907417643346,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199,88.7
2019,13.384729180332174,8.634442751466477,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197,81.8
2017,13.345508528717259,10.147961974552167,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496,88.73
2018,13.304686600863562,11.153102714740765,Petrol,Dealer,Automatic,First Owner,22.0,1197,81.8
2017,13.017005083966255,10.93828994344506,Diesel,Dealer,Manual,First Owner,24.0,1186,73.97
2019,13.565767608549109,8.858368636308018,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199,88.76
2016,13.377007146164305,9.305741456739435,Petrol,Dealer,Automatic,First Owner,14.3,1598,103.5
2010,11.918397239722838,11.571203807011969,Petrol,Individual,Manual,Third Owner,20.36,1197,78.9
2015,13.081543466215237,11.407576060361786,Diesel,Individual,Manual,First Owner,26.59,1248,74.0
2012,12.611541086966115,11.51293546492023,Diesel,Individual,Manual,Second Owner,21.5,1248,88.8
2016,12.388398368982115,10.819798284210286,Petrol,Individual,Manual,First Owner,22.74,796,47.3
2018,13.897091466615258,6.90875477931522,Petrol,Individual,Automatic,First Owner,18.0,1497,117.6
2017,13.527829818844937,9.852246888342531,Diesel,Individual,Automatic,First Owner,28.4,1248,74.02
2020,12.92391243868049,10.463131911491967,CNG,Individual,Manual,First Owner,20.88,1196,61.7
